분류,지역,작품명,작가명,재질,규격(가로),규격(세로),규격(높이),설치일자,가격(원),건축물주소,연면적(㎡)
조각,전북/전주시,천지인+자연,우**,"스테인레스스틸, 화강석, 브론즈",175,115,350,2015-07-28,29300000,전북 전주시 덕진구 송천동1가 350-4 ,10197.18
조각,전북/익산시,움직임-여행,김**,"알루미늄, 우레탄",280,900,450,2015-07-02,113400000,전북 익산시 어양동 606-1,190724.02
조각,전북/익산시,천공-머무는 자리,유**,"화강석, 스테인레스스틸",400,300,300,2015-07-02,113600000,전북 익산시 어양동 606-1 ,190724.02
조각,전북/군산시,해피데이,김**,스테인레스스틸,240,150,380,2015-06-15,156000000,전북 군산시 소룡동 768 ,19368
조각,전북/전주시,아낌없이 주는 나무,우**,"스테인레스스틸, 브론즈, LED",115,95,286,2015-05-12,19360000,전북 전주시 덕진구 덕진동2가 3-1 엘르디움아파트 ,14791.96
조각,전북/전주시,풍경 2014,이**,"화강석, 스테인레스스틸",550,250,300,2015-04-28,64500000,전북 전주시 완산구 중화산동2가 34-4,46381.88
조각,전북/전주시,Sunrise,강**,"스테인레스스틸, LED",280,80,300,2015-04-28,46120000,전북 전주시 완산구 효자동3가 1540-2,29420.2
조각,전북/부안군,별을 보다,정**,"황등석, 화강석",600,300,300,2015-03-04,95000000,전북 부안군 부안읍 봉덕리 784번지 일원,68680.5
기타,전북/전주시,숲 소리,김**,캔버스유채,450,170,,2015-03-04,50000000,전북 전주시 덕진구 만성동 1165,32070.21
조각,전북/전주시,풍요의 빛,김**,"청동, 화강석",180,100,400,2015-03-04,148675000,전북 전주시 덕진구 만성동 1165,32070.21
조각,전북/전주시,봄의 소리,김**,"화강석, 브론즈",400,340,270,2015-02-25,132100000,전북 전주시 완산구 효자동2가 1157-1,86352.37
조각,전북/전주시,쉼,소**,"고흥석, 화강석",,,,2015-01-15,34000000,전북 전주시 덕진구 반월동 이지움아파트,25151.37
조각,전북/김제시,사랑,이**,"고흥석, 스테인레스스틸",300,200,300,2015-01-15,35000000,전북 김제시 검산동 샬레1차아파트,58638.44
조각,전북/군산시,온고지신-포용,강**,"화강석, 문경석",640,430,200,2014-12-26,120000000,전북 군산시 미장동,152983.18
조각,전북/군산시,고군산군도,김**,"황등석, 화강석",135,204,195,2014-12-26,41160000,전북 군산시 수송동,24119.64
조각,전북/군산시,온고지신-영롱한빛,강**,"스테인레스스틸, 브론즈, 우레탄",500,200,185,2014-12-26,77000000,전북 군산시 미장동,152983.18
조각,전북/전주시,피어나는아침,김**,"스테인레스, 오석, 상주석, 화강석",510,510,370,2014-11-06,135000000,전북 전주시 완산구 삼천동1가 585-12,120397.48
조각,전북/전주시,순환,권**,화강석,150,400,400,2014-11-06,78000000,전북 전주시 완산구 삼천동1가 585-12,120397.48
조각,전북/군산시,모두함께,김**,화강석,260,160,360,2014-10-18,83000000,전북 군산시 지곡동 40-1,68240.83
조각,전북/남원시,인간+자연2,이**,"황등석,마천석,문경석,스테인레스스틸,",400,300,320,2014-09-03,73000000,전북 남원시 월락동 385-1,52516.27
조각,전북/전주시,비상,권**,"화강석, 브론즈, 스테인레스스틸",280,140,700,2014-08-13,182670000,전북 전주시 완산구 중동 혁신도시개발지구 농생16블럭 1노트,47196.67
조각,전북/정읍시,향기터,원**,"석재, 청동, 스테인레스스틸",530,480,400,2014-08-13,71000000,전북 정읍시 상동 89-4번지,49864.18
공예,전북/익산시,천년의사랑,엄**,"고흥서그 상주석,황등석,스테인레스스틸",280,240,320,2014-07-28,90000000,전북 익산시 신동 816-1번지외 5필지,112135.11
조각,전북/익산시,생성공간-흔적,신**,"화강석, 스테인레스스틸",300,100,300,2014-07-28,76960000,전북 익산시 신동 816-1번지외 5필지,112135.11
조각,전북/전주시,무형유산의시원,이**,"자연석(장석), 황동, 스테인레스스틸",900,600,190,2014-07-28,220000000,전북 전주시 완산구 동서학동 896-1,29615
조각,전북/전주시,공간저너머,국**,화강석,220,130,300,2014-07-21,118000000,전북 전주시 완산구 효자동1가 434번지 외,25908.59
조각,전북/전주시,평화의소리,국**,"황등화강석, 장흥화강석, 스테인레스스틸",310,210,350,2014-07-21,111000000,전북 전주시 완산구 중동 전주 완주 혁신도시 c13블럭,86549.49
조각,전북/김제시,내면속의풍경,이**,"고흥석,상주석,스테인레스스틸",250,150,250,2014-07-11,50000000,전북 김제시 신풍동 300번지외 2필지,22308.16
조각,전북/군산시,늘봄,김**,"황등석, 화강석",500,105,375,2014-07-11,250000000,전북 군산시 지곡동 31-7번지외,129875.62
조각,전북/익산시,한옥의꿈,이**,화강석 스테인레스스틸,600,400,400,2014-07-04,148200000,전북 익산시 모현동1가 배산택지지구 4블럭,111916.16
조각,전북/완주군,하늘그리기,육**,"스테인레스스틸, 우레탄도장, 화강석",590,230,500,2014-04-25,92000000,전북 완주군 이서면 갈산리 57-1,141229.08
조각,전북/완주군,풍요 - 콩,엄**,"스테인레스스틸, 브론즈, 화강석",400,400,305,2014-04-25,103400000,전북 완주군 이서면 갈산리 B-4블럭,82551.73
조각,전북/완주군,Fairy of Honey,박**,스테인레스스틸,225,120,440,2014-04-25,92000000,전북 완주군 이서면 갈산리 57-1,141229.08
조각,전북/완주군,이야기,김**,"대리석, 상주석, 스테인레스스틸",700,300,300,2014-04-10,75500000,전북 완주군 이서면 갈산리 1-3,62562.65
조각,전북/익산시,천년고리,장**,"스테인레스스틸, 인청동",450,80,200,2014-04-10,120000000,전북 익산시 송학동 330번지,95336.19
회화,전북/완주군,컬러환타지,하**,유화,270,140,,2014-04-10,20000000,전북 완주군 이서면 갈산리 1-3,25632.76
조각,전북/완주군,빛과 어둠,배**,스테인레스스틸,4200,2400,2800,2014-04-10,100000000,전북 완주군 이서면 갈산리 1-3,25632.76
조각,전북/전주시,내마음의 풍경,이**,"스테인레스스틸,화강석",7600,2500,3000,2014-01-17,105000000,전북 전주시 완산구 효자동2가 1315-1,83257.57
조각,전북/전주시,생명의고리,이**,"황등석, 스테인레스 포리싱",330,330,330,2013-12-23,84354000,전북 전주시 덕진구 덕진동1가 전북대학교전북대병원 임상연구지원센터,12601.19
