연번,작가,부문,명제,제작년도,규격
562,강국진,판화,03월 14일,1974,12.8x18.8
563,강국진,판화,dots,1976,24.3x30.3
564,강국진,판화,65-1제목확인,1980,20x36
565,강국진,판화,dots4,1976,24.4x30.4
566,강국진,판화,브러싱,1976,30.2x36.7
567,강국진,판화,Mar-73,1976,29.8x36.5
568,강국진,판화,dots,1976,27.5x35
569,강국진,판화,브러싱2,1976,29.5x36
570,강국진,판화,dots4,1976,22x30
571,강국진,판화,Feb-54,1974,27x39.8
572,강국진,판화,Jan-43,1974,27.2x39.4
573,강국진,판화,Jan-39,1973,15x19.5
574,강국진,판화,男,1973,12x22
575,강국진,판화,종,1976,6.5x8
576,강국진,판화,dots,1976,27.5x35
577,강국진,판화,Jan-32,1973,15.9x20.2
578,강국진,판화,,1973,18.3x22.3
579,강국진,판화,,1975,26.2x39
580,강국진,판화,Feb-53,1974,30.3x39.2
581,강국진,판화,Mar-53,1974,30.3x39.2
582,강국진,판화,shape5,1973,19.5x29.7
583,강국진,판화,335-1,1973,19x30
584,강국진,판화,Feb-52,1972,26x39
585,강국진,판화,shape,1975,38.5x30
586,강국진,판화,shape2,1973,19.5x21
587,강국진,판화,01월 30일,1973,19.5x20
588,강국진,판화,05월 30일,1973,19.5x21
