작품명(한글),작품명(영문),크기,재질,작가(한글),작가(영문),국적,제작년월,설치장소,작품출처,작품이미지
무제,Untitled,3.4X0.9X2.0 (m),알루미늄,"기요미쯔, 큐베이",Kiyomizu-Kyubei,일본,1988-09-30,컨벤션 센터 입구,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0063.jpg
무제,Untitled,1.9X1.6X2.9 (m),나무,왕 케핑,Wang-Keping,중국,1988-09-30,올림픽홀 앞,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/2004011518025018457_b.jpg
대지의 귀,ear of the earth,5.4X1.0X1.6 (m),화강암,최인수,"Choi, In-su",대한민국,2011-12-27,들꽃마루,재제작 설치,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0117.jpg
가상의 구,A virtual sphere,17.0X17.0X24.0 (m),알루미늄,"소토, 헤수 라파엘",Soto-Jesus Rafael,베네수엘라,1988-04-30,장미정원,2차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0135.jpg
실루엣 88,Silhouette 88,3.2X2.4X4.0 (m),화강암,강태성,"Kang, Tai-sung",대한민국,1988-09-30,조각의 숲 인근,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0134.jpg
태극문,Tai-chi-gate,6.0X3.5X4.2 (m),청동,쥬 밍,Ju Ming,차이니스 타이페이,1988-09-30,88마당 옆,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0181.jpg
해탈의 하늘,Sky for nirvana,1X9 (m),철,이상현,"Lee, Sang-hyeon",대한민국,1998-09-30,벨로드롬,10주년 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0116.jpg
용의 공간,Poland,42.0X11.0X2.2 (m),청동,"아바카노비치, 막달레나",Abakanowicz-Magdalena,폴란드,1988-04-30,88마당,2차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0151.jpg
현전,Before the present,15.0X4.0X3.0 (m),화강암,심문섭,"Shim, Moon-seup",대한민국,1987-09-30,88마당,1차 심포지움,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0153.jpg
이등변 삼각형,Lsosceles,3.0X3.3X3.1 (m),"스테인레스 스틸, 철","메르카도, 니심",Merkado-Nissim,이스라엘,1988-09-30,88마당 옆,조각초대전,https://www.somamuseum.org/manage/upload_files/piece_prdt/image_150/0004.jpg
